SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,NumberOfFailedParticles,RotationInDegreePerSecond,IsPouringFailed
SM_Cup,SM_Blue_Cup,2.139811,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,67.978821,True
SM_Cup,SM_Blue_Cup,1.642698,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,68.90699,True
SM_Cup,SM_Blue_Cup,1.698864,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,9,67.657379,True
SM_Cup,SM_Blue_Cup,1.812214,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,67.14399,True
SM_Cup,SM_Blue_Cup,2.214684,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,68.521133,True
SM_Cup,SM_Blue_Cup,1.717096,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,6,68.2836,True
SM_Cup,SM_Blue_Cup,2.259861,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,67.447319,True
SM_Cup,SM_Blue_Cup,2.068589,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,68.950935,True
SM_Cup,SM_Blue_Cup,2.139304,70.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,8,68.900581,True
SM_Cup,SM_Blue_Cup,2.102193,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,73.076729,True
SM_Cup,SM_Blue_Cup,2.049944,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,9,73.841904,True
SM_Cup,SM_Blue_Cup,2.109651,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,70.730644,True
SM_Cup,SM_Blue_Cup,2.511318,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,5,73.570435,True
SM_Cup,SM_Blue_Cup,1.335918,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,3,67.184837,True
SM_Cup,SM_Blue_Cup,1.346554,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499603,True
SM_Cup,SM_Blue_Cup,1.342879,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499969,False
SM_Cup,SM_Blue_Cup,1.339374,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,67.443298,True
SM_Cup,SM_Blue_Cup,1.343243,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499886,True
SM_Cup,SM_Blue_Cup,1.340253,75.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,2,67.277039,True
SM_Cup,SM_Blue_Cup,1.338614,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,1,66.941231,True
SM_Cup,SM_Blue_Cup,1.336658,80.0,90.0,-0.4,-6.448856,63.928764,-0.400015,0.715164,49.741776,132,0,0,67.499931,True
